Index,Img_name,Var_name,Band_001,Band_002,Band_003,Band_004,Band_005,Band_006,Band_007,Band_008,Band_009,Band_010,Band_011,Band_012,Band_013,Band_014,Band_015,Band_016,Band_017,Band_018,Band_019,Band_020,Band_021,Band_022,Band_023,Band_024,Band_025,Band_026,Band_027,Band_028,Band_029,Band_030,Band_031,Band_032,Band_033,Band_034,Band_035,Band_036,Band_037,Band_038,Band_039,Band_040,Band_041,Band_042,Band_043,Band_044,Band_045,Band_046,Band_047,Band_048,Band_049,Band_050,Band_051,Band_052,Band_053,Band_054,Band_055,Band_056,Band_057,Band_058,Band_059,Band_060,Band_061,Band_062,Band_063,Band_064,Band_065,Band_066,Band_067,Band_068,Band_069,Band_070,Band_071,Band_072,Band_073,Band_074,Band_075,Band_076,Band_077,Band_078,Band_079,Band_080,Band_081,Band_082,Band_083,Band_084,Band_085,Band_086,Band_087,Band_088,Band_089,Band_090,Band_091,Band_092,Band_093,Band_094,Band_095,Band_096,Band_097,Band_098,Band_099,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217,Band_218,Band_219,Band_220,Band_221,Band_222,Band_223,Band_224,Band_225,Band_226,Band_227,Band_228,Band_229,Band_230,Band_231,Band_232,Band_233,Band_234,Band_235,Band_236,Band_237,Band_238,Band_239,Band_240,Band_241,Band_242,Band_243,Band_244,Band_245,Band_246,Band_247,Band_248,Band_249,Band_250,Band_251,Band_252,Band_253,Band_254,Band_255,Band_256
1,38367,mean,33494.16,33716.49,33859.19,34028.61,34557.97,35160.66,35510.96,35797.59,36311.19,37001.33,37561.80,37924.32,38135.86,38411.59,38798.07,39172.20,39420.95,39435.55,39256.50,39055.69,38906.59,38761.77,38542.84,38175.58,37635.65,37137.85,36521.82,35266.95,33655.63,31531.12,29936.93,28814.83,28161.31,27844.72,27667.64,27553.52,27388.60,27248.34,27152.41,27134.70,27147.67,27212.55,27330.49,27494.35,27660.09,27814.27,27924.66,28014.71,28027.32,27963.62,27847.17,27678.65,27419.79,27082.26,26654.27,26124.02,25504.76,24800.93,23984.73,23073.19,22102.44,21145.33,20191.62,19347.44,18662.74,18093.64,17458.78,16376.66,14931.70,14054.53,12124.00,10633.64,9425.54,8533.22,7846.36,7389.23,7068.58,6861.88,6723.86,6639.04,6590.36,6556.07,6558.87,6645.99,6770.30,6902.23,7060.44,7268.50,7498.42,7718.29,7939.63,8169.84,8386.25,8591.23,8767.58,8939.97,9117.37,9295.84,9471.08,9628.15,9752.56,9875.29,9981.77,10090.09,10193.00,10290.72,10370.98,10448.06,10507.80,10562.53,10613.87,10658.12,10686.47,10701.47,10696.44,10657.45,10592.80,10516.33,10409.33,10283.85,10103.28,9927.86,9795.63,9703.61,9598.81,9443.74,9276.93,9138.85,8996.81,8827.10,8594.32,8361.94,8140.33,7979.00,7847.38,7747.92,7655.37,7583.75,7520.81,7486.56,7365.81,7246.42,7178.54,6998.67,6846.74,6851.74,6526.57,6337.27,5997.35,5492.09,4911.16,4251.53,3372.40,2723.74,2228.59,1913.13,1756.73,1602.06,1520.51,1504.66,1493.82,1491.65,1515.62,1544.30,1592.56,1651.87,1694.98,1740.18,1791.41,1851.34,1919.24,1992.85,2068.18,2148.92,2222.83,2294.64,2346.74,2386.94,2425.91,2469.72,2519.59,2574.83,2622.54,2663.75,2697.00,2730.00,2754.37,2775.69,2800.87,2823.14,2840.85,2873.28,2907.54,2941.54,2971.47,3003.05,3026.67,3030.28,3030.39,3050.12,3045.06,3057.08,3052.57,3049.26,3040.63,3029.27,3027.35,3031.60,3026.88,3007.64,2949.80,2877.49,2794.67,2732.14,2685.11,2628.28,2575.19,2513.41,2456.13,2422.30,2379.86,2332.16,2266.51,2209.74,2141.09,2083.39,2014.30,1965.42,1897.54,1865.84,1811.36,1766.68,1722.67,1675.44,1629.92,1589.70,1540.34,1497.09,1462.80,1418.46,1364.36,1328.72,1291.52,1232.37,1186.93,1154.19,1104.39,1079.58,1055.06,1040.29,1012.69,953.67,925.34,907.07,882.74,866.28
3,38368,mean,30631.00,30815.50,30934.05,31047.29,31457.38,31993.44,32286.34,32531.22,32925.36,33522.04,34020.04,34334.81,34531.74,34734.00,35060.65,35408.14,35622.08,35665.41,35519.52,35346.01,35207.67,35089.67,34912.99,34595.66,34152.95,33730.71,33200.61,32102.75,30660.67,28710.75,27208.98,26088.91,25415.03,25060.56,24847.49,24684.03,24483.85,24312.89,24205.74,24179.01,24206.79,24292.15,24403.39,24569.25,24726.06,24882.84,24996.59,25066.55,25085.55,25042.62,24924.29,24781.40,24555.92,24255.28,23857.32,23377.04,22801.99,22149.51,21377.65,20530.33,19608.97,18691.40,17791.76,17012.89,16373.74,15838.70,15236.22,14243.44,12936.56,12111.74,10377.84,9050.36,8011.70,7244.24,6651.64,6251.49,5970.89,5786.50,5662.91,5582.43,5531.85,5490.65,5496.32,5569.98,5654.93,5759.49,5885.43,6044.82,6231.83,6402.66,6580.40,6769.01,6944.42,7119.43,7266.43,7406.59,7557.35,7704.52,7851.25,7988.10,8100.24,8205.36,8299.14,8396.50,8490.91,8570.79,8653.89,8723.58,8781.55,8842.45,8881.95,8929.29,8962.32,8981.10,8981.79,8955.21,8912.03,8844.87,8747.59,8633.85,8470.34,8318.06,8200.03,8127.85,8032.43,7898.92,7752.75,7628.24,7504.94,7350.49,7162.89,6958.79,6768.68,6642.39,6521.80,6434.14,6365.18,6303.31,6258.07,6222.26,6127.56,6034.53,5973.15,5839.72,5720.97,5711.67,5445.27,5283.94,4998.38,4584.56,4103.78,3567.04,2849.55,2319.73,1916.46,1648.67,1517.53,1392.32,1317.41,1306.20,1289.72,1292.85,1312.40,1331.23,1375.34,1413.33,1447.62,1494.91,1528.32,1577.96,1630.55,1685.87,1755.27,1811.89,1871.06,1934.57,1968.97,2007.79,2035.36,2065.19,2107.05,2144.12,2181.35,2216.89,2235.34,2259.04,2281.09,2292.72,2311.62,2326.35,2342.14,2365.37,2384.44,2420.69,2439.42,2465.61,2488.59,2485.49,2487.89,2496.33,2499.82,2507.50,2503.51,2497.12,2484.18,2469.86,2473.45,2475.66,2456.79,2461.43,2403.43,2340.25,2279.02,2210.86,2176.71,2137.48,2086.99,2043.03,1994.35,1967.08,1940.05,1887.07,1852.88,1799.87,1734.17,1695.45,1631.47,1590.92,1543.30,1496.84,1471.52,1432.66,1389.60,1362.62,1318.06,1287.79,1255.16,1212.12,1183.32,1144.58,1095.02,1071.96,1023.02,987.92,951.85,912.96,881.86,852.20,827.64,804.46,757.00,726.06,696.18,662.62,654.40,633.60
5,38369,mean,30501.70,30677.40,30827.57,30945.91,31408.25,31978.68,32274.28,32545.95,33017.43,33625.03,34154.24,34493.99,34703.34,34975.25,35324.22,35672.31,35908.03,35923.05,35772.79,35596.82,35453.15,35318.25,35100.78,34767.00,34260.69,33775.27,33196.83,32026.93,30518.07,28546.15,27052.23,26023.58,25417.56,25117.71,24948.21,24827.37,24665.27,24523.12,24435.14,24418.65,24433.00,24504.61,24621.62,24781.84,24942.16,25093.10,25202.50,25281.91,25300.27,25243.66,25128.18,24987.87,24751.70,24448.47,24057.83,23567.15,23007.31,22350.92,21603.31,20766.88,19867.62,18997.36,18115.27,17338.65,16702.55,16160.16,15582.44,14611.94,13301.40,12481.30,10735.93,9383.72,8298.57,7495.53,6892.52,6488.64,6209.78,6034.53,5911.39,5839.88,5798.50,5766.92,5777.49,5856.88,5969.21,6091.14,6236.97,6436.91,6644.82,6850.65,7054.41,7265.44,7467.68,7656.66,7825.99,7984.93,8146.30,8316.07,8476.94,8623.52,8743.40,8856.01,8954.99,9055.67,9149.16,9238.68,9311.54,9382.24,9438.41,9480.64,9528.97,9566.61,9589.16,9603.00,9592.40,9557.41,9502.58,9426.97,9333.16,9220.33,9054.72,8901.18,8779.65,8697.85,8602.94,8460.93,8307.68,8183.31,8047.05,7894.79,7687.60,7472.74,7269.56,7124.66,7003.53,6908.05,6827.75,6761.17,6705.03,6670.37,6560.13,6450.70,6387.04,6224.57,6080.53,6074.44,5788.78,5612.77,5299.94,4842.10,4308.14,3710.45,2928.85,2344.29,1901.79,1620.10,1480.47,1351.47,1278.10,1268.18,1256.77,1257.75,1277.34,1302.25,1347.16,1399.84,1443.37,1483.35,1534.24,1589.24,1653.92,1719.06,1790.45,1863.45,1934.85,1998.63,2050.27,2088.18,2126.61,2174.91,2218.69,2271.52,2322.07,2359.61,2398.37,2427.48,2452.49,2474.90,2502.12,2522.63,2543.40,2573.15,2603.96,2637.76,2662.61,2695.72,2710.01,2718.19,2724.31,2735.76,2734.94,2745.27,2741.40,2738.26,2723.72,2719.08,2715.04,2719.15,2711.53,2698.40,2644.13,2580.15,2504.82,2453.67,2410.02,2363.20,2313.09,2256.09,2207.87,2172.88,2136.77,2089.84,2030.95,1977.69,1917.19,1871.53,1805.03,1756.83,1695.85,1666.01,1615.97,1577.66,1539.27,1488.33,1452.99,1409.71,1369.56,1332.33,1298.08,1256.44,1217.00,1181.69,1145.59,1096.83,1059.70,1023.97,994.54,968.68,946.99,924.95,903.95,861.92,827.33,812.08,797.25,793.31
7,38370,mean,31935.69,32178.72,32322.40,32503.96,32974.89,33561.85,33898.37,34180.37,34636.22,35261.49,35828.07,36157.38,36359.22,36610.44,36980.02,37327.99,37544.75,37567.27,37394.64,37219.02,37057.88,36934.28,36712.56,36389.25,35887.35,35441.26,34888.00,33741.29,32249.25,30232.91,28732.53,27655.15,27030.17,26730.27,26563.34,26438.92,26289.23,26152.53,26060.15,26049.71,26051.79,26108.04,26209.59,26334.56,26472.81,26606.70,26697.48,26778.62,26780.90,26709.52,26598.78,26430.46,26177.83,25853.33,25441.19,24937.27,24346.23,23673.34,22905.84,22050.42,21150.54,20260.48,19384.16,18624.87,18038.90,17550.83,16962.74,15943.66,14610.92,13882.55,12087.57,10748.00,9634.93,8802.31,8142.52,7687.09,7372.18,7163.06,7016.07,6924.63,6866.20,6819.18,6828.85,6913.08,7014.07,7137.49,7272.25,7473.04,7681.21,7887.35,8089.21,8288.20,8486.85,8663.96,8817.53,8967.94,9129.36,9286.86,9439.47,9575.87,9684.43,9787.35,9879.04,9970.74,10052.30,10138.12,10201.97,10258.16,10303.57,10352.21,10393.39,10429.62,10441.46,10450.84,10442.62,10409.05,10353.88,10279.29,10189.08,10068.62,9898.27,9737.24,9617.49,9536.99,9440.90,9295.99,9138.21,9007.47,8872.93,8710.47,8496.20,8272.51,8068.97,7918.64,7790.22,7693.34,7614.16,7544.12,7483.73,7447.41,7329.19,7218.62,7158.25,6981.94,6843.02,6856.57,6538.19,6365.24,6046.82,5578.71,5060.03,4431.76,3553.16,2892.20,2367.16,2017.31,1833.65,1664.91,1570.54,1552.34,1532.11,1538.53,1565.56,1599.39,1659.41,1719.71,1771.29,1823.53,1882.73,1945.05,2023.08,2101.37,2183.96,2266.42,2348.37,2423.86,2476.59,2525.58,2561.27,2612.35,2661.61,2717.01,2767.66,2806.05,2845.22,2870.44,2894.12,2919.72,2937.82,2956.98,2973.02,3003.05,3026.40,3069.08,3091.35,3119.84,3135.28,3140.56,3134.57,3149.32,3144.06,3145.62,3141.52,3132.29,3112.50,3108.89,3095.52,3099.58,3094.23,3080.09,3022.62,2950.14,2878.29,2817.96,2765.86,2721.43,2672.57,2606.41,2549.47,2515.55,2473.14,2424.87,2367.71,2307.13,2246.72,2185.12,2114.22,2053.82,1990.79,1958.54,1893.30,1850.99,1803.44,1746.94,1711.04,1664.26,1608.25,1567.09,1527.58,1481.95,1421.82,1384.12,1335.65,1280.77,1237.52,1190.85,1145.97,1117.15,1085.38,1061.07,1021.81,964.39,932.42,894.70,877.91,849.85
9,38371,mean,31334.30,31503.64,31601.32,31695.94,32143.84,32641.21,32900.44,33138.04,33536.94,34121.15,34575.26,34877.37,35021.73,35259.81,35592.37,35917.25,36117.42,36136.43,35992.35,35820.05,35714.16,35604.23,35424.57,35133.56,34666.44,34264.12,33771.20,32745.20,31397.41,29567.07,28140.95,27086.61,26411.53,26065.30,25844.87,25675.72,25492.00,25312.16,25196.90,25157.70,25156.95,25227.13,25350.39,25498.89,25657.20,25803.92,25895.29,25980.28,25982.73,25930.35,25824.51,25679.22,25453.60,25172.31,24806.11,24343.72,23801.37,23172.10,22440.44,21617.00,20727.67,19846.07,18968.16,18196.37,17596.17,17092.18,16494.88,15477.86,14149.80,13375.70,11563.12,10190.26,9069.39,8232.08,7575.42,7128.28,6823.08,6613.43,6457.89,6375.11,6313.04,6275.40,6277.77,6353.53,6454.66,6572.01,6707.21,6892.32,7092.99,7289.14,7489.23,7680.99,7871.81,8049.46,8201.87,8346.91,8502.07,8659.10,8806.51,8939.91,9043.13,9145.10,9232.62,9330.40,9413.34,9501.21,9568.47,9631.87,9687.58,9737.40,9786.91,9827.52,9849.46,9865.36,9862.27,9833.14,9781.79,9713.31,9617.96,9496.04,9315.94,9146.08,9019.18,8933.94,8841.01,8700.47,8553.53,8435.86,8302.06,8148.22,7942.51,7731.05,7537.26,7394.10,7275.20,7190.50,7110.97,7049.50,7000.57,6975.71,6869.64,6765.57,6712.47,6550.88,6427.70,6441.07,6145.63,5973.95,5668.29,5218.86,4712.12,4109.90,3278.44,2666.44,2180.46,1856.94,1689.36,1537.06,1447.33,1428.16,1411.56,1412.10,1435.83,1465.52,1520.36,1574.00,1620.42,1670.02,1724.66,1786.69,1852.69,1929.94,2003.22,2076.40,2152.66,2222.42,2271.67,2313.31,2345.87,2389.23,2439.04,2486.35,2535.01,2568.75,2604.06,2632.06,2650.77,2671.96,2692.35,2710.91,2721.88,2752.74,2780.22,2817.26,2837.17,2872.24,2885.45,2892.86,2895.09,2909.19,2908.94,2911.64,2918.28,2907.98,2893.78,2891.09,2882.00,2885.81,2879.23,2871.43,2810.47,2743.30,2667.32,2611.29,2559.19,2513.57,2467.49,2404.75,2358.19,2321.20,2285.37,2237.06,2181.31,2127.48,2063.03,2009.85,1939.18,1890.85,1833.64,1804.84,1745.35,1710.75,1667.82,1612.17,1581.12,1533.12,1498.54,1449.97,1413.12,1369.67,1316.27,1284.17,1239.73,1188.89,1137.19,1107.09,1059.05,1033.95,1000.37,988.46,940.96,904.52,872.70,839.69,830.51,789.81
11,38372,mean,32822.41,33026.79,33224.95,33380.12,33899.22,34490.94,34826.31,35111.83,35584.11,36234.36,36765.54,37104.70,37296.42,37544.46,37893.18,38247.39,38464.38,38469.17,38307.98,38120.95,37977.44,37846.83,37626.83,37298.41,36787.70,36342.96,35776.16,34605.07,33094.84,31058.78,29529.33,28454.37,27845.59,27574.64,27424.23,27336.26,27192.97,27061.20,26981.00,26971.12,26975.23,27029.26,27121.52,27256.91,27411.08,27540.78,27635.27,27717.62,27720.36,27656.29,27530.84,27362.40,27097.19,26763.23,26339.25,25819.36,25214.41,24536.23,23750.10,22877.31,21946.74,21039.75,20127.75,19343.03,18704.41,18178.08,17561.12,16506.95,15139.62,14356.61,12500.37,11071.85,9886.30,8994.85,8299.61,7836.10,7513.00,7314.30,7167.36,7091.76,7042.73,7008.87,7024.39,7116.84,7251.64,7386.98,7555.81,7769.25,7999.90,8226.80,8453.45,8681.54,8895.18,9093.51,9265.76,9434.34,9608.95,9777.22,9944.79,10092.06,10211.70,10328.17,10424.32,10522.67,10611.36,10705.51,10772.12,10843.78,10896.76,10941.00,10985.74,11021.84,11043.02,11052.82,11042.78,11009.00,10940.63,10859.43,10757.34,10633.35,10456.91,10287.89,10158.04,10072.24,9974.02,9818.13,9654.37,9518.59,9371.66,9196.65,8966.31,8732.21,8510.46,8346.92,8210.25,8107.03,8013.77,7933.63,7872.73,7829.03,7703.15,7576.88,7500.71,7317.51,7164.30,7163.99,6837.62,6652.73,6316.76,5813.07,5238.14,4551.95,3624.70,2917.60,2360.97,2003.32,1819.60,1654.68,1560.67,1548.64,1538.14,1541.68,1573.54,1608.42,1669.74,1738.13,1797.14,1852.20,1915.23,1987.98,2065.84,2156.94,2243.50,2329.97,2425.74,2500.03,2564.80,2609.75,2654.10,2706.90,2758.30,2817.99,2868.12,2910.15,2943.87,2981.01,3001.17,3023.91,3047.88,3066.93,3088.23,3115.12,3150.40,3189.86,3213.62,3248.92,3262.46,3272.79,3268.26,3284.76,3283.86,3285.27,3285.57,3275.31,3262.01,3243.48,3237.45,3243.53,3240.68,3217.56,3152.72,3072.16,2986.36,2926.47,2868.59,2819.72,2758.76,2693.94,2641.52,2599.48,2556.70,2509.87,2439.47,2378.63,2306.31,2234.63,2156.46,2101.96,2039.89,1998.41,1935.85,1892.44,1844.03,1789.60,1741.28,1697.84,1641.01,1600.73,1554.37,1501.65,1448.68,1407.27,1359.48,1290.82,1244.68,1197.93,1145.78,1117.57,1070.05,1066.34,1018.35,966.00,926.13,891.64,890.09,838.05
13,38373,mean,27853.59,28054.06,28120.82,28242.75,28632.42,29135.50,29389.46,29649.31,30025.34,30584.97,31029.69,31320.74,31486.40,31717.50,32054.46,32371.54,32580.87,32599.87,32488.70,32327.39,32247.60,32140.00,31981.03,31692.69,31270.24,30883.76,30388.79,29391.08,28057.90,26278.07,24870.13,23870.83,23233.74,22936.11,22722.90,22590.14,22410.18,22274.51,22184.74,22171.28,22193.74,22271.26,22408.26,22548.14,22714.60,22843.91,22965.45,23039.29,23063.99,23010.60,22926.76,22788.99,22579.36,22314.03,21957.59,21524.67,20988.14,20395.86,19686.60,18911.61,18062.31,17246.45,16430.72,15719.15,15144.09,14666.22,14137.18,13234.88,12052.79,11333.06,9783.55,8603.73,7672.14,6979.08,6451.60,6089.51,5851.33,5681.22,5562.07,5491.84,5448.90,5413.93,5415.42,5487.43,5565.38,5665.77,5773.97,5934.90,6097.76,6266.77,6433.13,6601.55,6765.10,6917.79,7052.34,7179.33,7318.66,7449.23,7584.88,7700.12,7795.34,7884.89,7970.35,8053.23,8128.78,8208.46,8264.10,8325.62,8366.53,8416.87,8448.29,8491.80,8502.16,8525.20,8517.47,8494.79,8440.51,8379.22,8288.17,8183.26,8035.84,7888.60,7786.55,7714.42,7639.69,7510.43,7382.50,7272.48,7157.36,7020.75,6846.04,6661.04,6494.78,6369.97,6263.85,6190.13,6118.30,6064.59,6013.00,5989.53,5891.73,5801.11,5746.65,5606.00,5494.84,5500.54,5242.53,5099.46,4837.75,4449.03,4016.61,3522.33,2837.69,2334.60,1950.90,1690.39,1569.47,1440.05,1364.38,1356.58,1346.78,1346.00,1365.28,1387.29,1424.71,1473.21,1505.50,1546.43,1581.78,1634.11,1685.97,1744.95,1804.67,1868.23,1928.84,1984.69,2027.10,2056.08,2084.22,2122.25,2161.08,2206.28,2241.64,2277.73,2303.33,2328.52,2343.95,2365.23,2370.06,2390.66,2400.09,2425.62,2444.15,2478.98,2489.05,2516.27,2525.90,2530.22,2528.73,2534.28,2536.86,2536.39,2532.38,2525.94,2516.30,2507.14,2503.01,2501.71,2504.96,2485.17,2442.40,2381.60,2322.88,2276.63,2241.48,2204.69,2157.92,2112.90,2071.90,2043.88,2012.15,1971.89,1929.17,1881.63,1831.46,1780.69,1728.68,1683.13,1637.07,1608.58,1563.86,1525.62,1493.62,1452.68,1417.05,1382.60,1346.20,1316.85,1279.07,1245.88,1201.78,1174.48,1140.72,1098.73,1059.95,1028.55,1000.25,976.97,949.60,931.49,899.76,873.65,845.64,829.30,809.72,785.34
15,38374,mean,27098.95,27310.28,27441.50,27582.42,28037.93,28533.44,28844.87,29118.73,29560.42,30124.49,30618.54,30926.71,31121.14,31382.48,31725.40,32058.40,32260.48,32311.84,32190.71,32052.76,31950.65,31859.55,31699.80,31418.06,31012.28,30636.06,30158.86,29136.71,27792.82,26002.27,24626.92,23637.76,23054.06,22759.86,22585.04,22456.84,22292.32,22149.47,22055.72,22036.84,22048.03,22126.67,22259.52,22411.48,22569.99,22717.62,22824.78,22907.19,22936.06,22895.97,22817.30,22677.95,22473.39,22206.53,21860.82,21426.87,20903.23,20310.50,19620.52,18850.09,18029.07,17216.47,16426.47,15741.75,15220.85,14770.40,14225.17,13302.29,12122.17,11399.49,9790.82,8578.84,7582.55,6846.50,6275.33,5888.87,5618.85,5446.46,5320.20,5252.65,5198.23,5165.34,5173.63,5243.41,5332.48,5442.07,5560.47,5734.54,5916.09,6093.16,6268.65,6453.42,6631.33,6792.58,6933.66,7078.14,7218.13,7365.46,7499.16,7627.87,7729.24,7827.56,7919.02,8009.85,8089.27,8170.70,8237.75,8298.71,8349.01,8389.91,8433.65,8469.14,8488.47,8504.25,8505.39,8478.54,8428.47,8358.60,8280.81,8179.37,8029.43,7889.69,7785.05,7711.61,7629.17,7503.76,7376.06,7269.57,7150.14,7021.73,6833.10,6645.63,6467.91,6343.35,6237.05,6157.64,6084.58,6037.43,5991.61,5973.04,5882.34,5798.62,5751.77,5613.12,5504.34,5518.50,5250.43,5092.94,4816.46,4411.85,3964.50,3420.27,2700.22,2173.19,1767.74,1503.12,1363.62,1238.12,1166.66,1148.81,1131.62,1129.39,1151.30,1169.09,1210.45,1254.96,1295.60,1331.96,1374.45,1424.43,1482.42,1537.53,1602.27,1664.92,1728.42,1783.21,1825.57,1864.25,1889.26,1930.70,1970.09,2012.16,2050.60,2085.94,2112.92,2139.57,2156.43,2185.62,2194.81,2215.98,2230.15,2257.68,2274.13,2308.53,2329.93,2358.17,2364.38,2375.75,2379.24,2395.49,2386.05,2397.72,2398.23,2397.82,2387.09,2382.23,2379.05,2377.98,2376.62,2359.96,2317.66,2260.66,2203.25,2145.21,2105.55,2056.89,2016.49,1961.37,1920.40,1887.51,1862.11,1813.06,1766.07,1714.51,1671.25,1617.13,1570.25,1521.79,1472.78,1449.45,1396.54,1367.72,1332.35,1283.56,1255.65,1217.76,1183.59,1149.27,1121.12,1086.26,1044.24,1014.39,978.63,933.45,905.77,871.95,837.77,814.50,795.57,774.69,747.50,720.12,701.98,675.37,660.80,649.87
17,38375,mean,32018.04,32189.61,32322.94,32477.76,32914.40,33479.13,33763.66,34042.01,34460.30,35075.39,35580.81,35915.58,36099.61,36347.60,36699.52,37029.54,37248.36,37260.50,37111.44,36905.83,36768.93,36623.37,36401.65,36060.46,35537.00,35056.62,34503.39,33395.76,31954.66,30036.82,28570.71,27529.22,26888.77,26579.04,26393.19,26252.45,26091.86,25943.91,25854.29,25826.79,25834.12,25883.29,26000.56,26136.88,26294.04,26427.74,26526.62,26599.21,26603.30,26532.88,26417.15,26272.44,26027.38,25730.43,25338.91,24861.52,24290.49,23646.44,22895.30,22069.38,21175.09,20298.31,19419.40,18651.79,18082.61,17596.87,17010.65,15986.88,14677.24,13948.35,12138.53,10782.81,9656.95,8815.39,8146.63,7693.40,7375.42,7171.78,7019.58,6940.35,6879.85,6840.82,6845.86,6924.21,7033.02,7151.66,7290.65,7481.26,7692.40,7882.89,8083.74,8283.56,8479.97,8654.35,8807.77,8951.08,9103.88,9259.19,9406.42,9535.00,9641.22,9738.47,9826.82,9914.52,9993.89,10079.29,10140.99,10204.36,10246.90,10296.00,10339.48,10377.69,10392.20,10400.27,10390.08,10349.55,10290.17,10210.32,10115.60,9986.87,9808.45,9641.71,9513.23,9422.12,9319.67,9169.09,9003.33,8872.04,8743.84,8600.55,8388.41,8168.88,7962.03,7816.90,7697.01,7606.88,7526.27,7453.58,7398.89,7365.95,7254.27,7140.54,7085.48,6908.15,6777.67,6793.52,6478.09,6306.43,5999.11,5534.61,5024.45,4400.44,3532.66,2897.19,2383.80,2042.48,1860.33,1695.60,1599.99,1578.35,1563.63,1565.94,1592.06,1628.46,1689.20,1746.48,1799.60,1855.45,1914.02,1977.66,2050.08,2124.61,2202.62,2284.03,2358.05,2429.13,2477.90,2524.88,2552.39,2601.76,2644.85,2694.39,2737.30,2777.77,2807.45,2836.28,2853.66,2876.05,2889.97,2902.62,2919.10,2944.26,2976.27,3010.61,3030.82,3063.44,3082.81,3085.67,3079.24,3098.47,3091.44,3097.81,3091.67,3088.49,3067.05,3064.26,3047.96,3057.84,3055.22,3035.03,2981.39,2905.45,2837.04,2774.11,2722.01,2670.41,2616.28,2549.77,2500.94,2460.97,2419.40,2370.56,2307.61,2242.59,2175.33,2132.00,2064.72,2012.56,1953.35,1924.20,1855.52,1820.55,1773.59,1722.46,1685.19,1637.12,1590.69,1549.81,1509.19,1465.15,1411.93,1373.78,1326.62,1273.74,1236.13,1193.70,1142.53,1119.76,1085.11,1066.48,1031.87,974.90,939.69,910.03,891.76,869.11
